[Epoch: 1/7][Iter: 370/28152][lr: 0.000074][losses: 0.59][yolo_loss:tensor([0.0370], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.16]
[Epoch: 1/7][Iter: 380/28152][lr: 0.000076][losses: 0.60][yolo_loss:tensor([0.0378], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.17]
[Epoch: 1/7][Iter: 390/28152][lr: 0.000078][losses: 0.60][yolo_loss:tensor([0.0372], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.16]
[Epoch: 1/7][Iter: 400/28152][lr: 0.000080][losses: 0.59][yolo_loss:tensor([0.0370], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.17]
[Epoch: 1/7][Iter: 410/28152][lr: 0.000082][losses: 0.60][yolo_loss:tensor([0.0373], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.08]
[Epoch: 1/7][Iter: 420/28152][lr: 0.000084][losses: 0.59][yolo_loss:tensor([0.0367], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.12]
[Epoch: 1/7][Iter: 430/28152][lr: 0.000086][losses: 0.59][yolo_loss:tensor([0.0367], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.11]
[Epoch: 1/7][Iter: 440/28152][lr: 0.000088][losses: 0.58][yolo_loss:tensor([0.0364], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.15]
[Epoch: 1/7][Iter: 450/28152][lr: 0.000090][losses: 0.58][yolo_loss:tensor([0.0363], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.11]
[Epoch: 1/7][Iter: 460/28152][lr: 0.000092][losses: 0.72][yolo_loss:tensor([0.0453], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.09]
[Epoch: 1/7][Iter: 470/28152][lr: 0.000094][losses: 0.58][yolo_loss:tensor([0.0361], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.12]
[Epoch: 1/7][Iter: 480/28152][lr: 0.000096][losses: 0.59][yolo_loss:tensor([0.0367], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.15]
[Epoch: 1/7][Iter: 490/28152][lr: 0.000098][losses: 0.57][yolo_loss:tensor([0.0355], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.12]
[Epoch: 1/7][Iter: 500/28152][lr: 0.000100][losses: 0.56][yolo_loss:tensor([0.0350], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.15]
[Epoch: 1/7][Iter: 510/28152][lr: 0.000100][losses: 0.57][yolo_loss:tensor([0.0356], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.08]
[Epoch: 1/7][Iter: 520/28152][lr: 0.000100][losses: 0.56][yolo_loss:tensor([0.0352], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.15]
[Epoch: 1/7][Iter: 530/28152][lr: 0.000100][losses: 0.57][yolo_loss:tensor([0.0357], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.15]
